festival_name,genre,city,state,start_date,end_date,description
Under 25 Summit,Multiarts,Bengaluru,,09 Mar 2024,10 Mar 2024,"As the name indicates, Under 25 Summit is the worlds leading youth festival which celebrates and inspires those under 25 through talks, discussions and performances by youth icons and changemakers. Akshar Pathak, Bhuvan Bam, Faye DSouza, Pooja Dhingra, Swarathma and Vir Das are just a few of those who have been part of the event, which has travelled to Bengaluru, Hyderabad, Mumbai, New Delhi and 40 other cities so far."
TENT Biennale,Film,Kolkata,West Bengal,05 Dec 2022,11 Dec 2022,"The Theatre for Experiments in New Technologies or TENT is a Kolkata-based independent and alternative art space that speaks to fluidities and experiments with media forms. TENT, which was initiated in 2012, launched the Little Cinema International Festival for experimental films and new media art in 2014. The event, which was held annually until 2018, was reimagined as the TENT Biennale in 2020."
St+art,Visual Arts,Delhi,Delhi NCR,04 Mar 2022,31 Mar 2022,"This multi-city urban street festival enhances and enlivens public spaces through the creation of murals, installations and experiential exhibitions. It makes art accessible to a broader audience by taking it out of the conventional gallery space and embedding it within cities. The St+art festival, which includes workshops and tours, and its New Delhi-based foundations public art projects have transformed sites in New Delhi (2014, 2016, 2019), Hyderabad (2016, 2017, 2019), Bengaluru (2016), Mumbai (2017, 2018, 2019), Panjim (2017, 2018, 2019), Kolkata (2018), Chandigarh (2018), Coimbatore (2018, 2020, 2021) and Chennai (2020, 2021, 2022) so far."
Spoken,Multiarts,Mumbai,Maharashtra,01 Feb 2025,02 Feb 2025,"Spoken celebrates the magic of words and provides a platform for vibrant voices in storytelling, poetry, spoken word, stand-up comedy, theatre and music from across India and around the globe. The two-day festival features over 50 artists performing across five stages as well as panel discussions, masterclasses and workshops, in English, Hindi and Urdu. Described by its organisers as the Mecca of the mindful millennial, its for the person whos not looking to tune out, but tune in."
Shoonya-Festival of Nothingness,Multiarts,Rishikesh,Uttarakhand,14 Feb 2025,16 Feb 2025,"Shoonya is a festival that its organisers say focuses on the journey towards the joyful discovery of inner contentment. It can simultaneously be described as a camping/travelling arts and wellness festival where attendees are invited to flow through the rocks and forests like a river stream via curated pathways of experiences, activities, and workshops such as drum circles, mandala making, sound healing, yoga and Zumba sessions."
Shobla Bana,Multiarts,Manali,Himachal Pradesh,20 May 2023,21 May 2023,"Shobla Bana, a cultural festival in Naggar, Himachal Pradesh, is a unique community-based celebration showcasing the cultural diversity of the Kullu region. Promoting local artisans and their work, the festival serves as a platform for identifying skill sets within the community, as well as creating opportunities for employment. Shobla Bana, Beautiful Fashion in the Kulavi language (spoken in Kullu district) is slated to include painting, crocheting and knitting competitions, an Odissi dance performance, a skit by members ofRadio Udaandiscussing the challenges faced by differently-abled individuals, cultural walks, Own Your Laptop Challenge and Dress up in a Pattu Challenge. The events will be followed by a speech by Rahul Bhushan, Creative Director and Founder ofHPCDI NORTH– Himachal Pradesh Craftsmanship and Design Innovation Institute, highlighting local culture as an expression of art and craft, and providing insights into the traditional architectural styles and challenges faced by Kath Kuni homes in Himachal Pradesh. Thefestivalwill also include a skit by students fromLiberation and Education Welfare Society, Naggar, as well as an evening programme, comprising yoga, meditation and wellness sessions, for differently-abled individuals. Other highlights include a traditional Natti dance performance, songs presented by Radio Udaan members, akavaliperformance by students from theNational Association for Blind, exhibition stalls showcasing exotic local fabric and traditional food. Shobla Bana is organised by theCivic Help & Progress Foundation (CHAP)every year in Naggar, Himachal Pradesh, India.Check out more multiarts festivalshere."
Shift – Art & Design Festival,Multiarts,Jaipur,Rajasthan,20 Dec 2024,22 Dec 2024,"An IP ofAwaaz Studio, the SHIFT – Art & Design Festival, started in 2021, brings together artist collectives, independent creators, performers and art enthusiasts to foster expression and collaboration and strengthen Jaipurs art scene. The festival is dedicated to the entire creative industry—arts, design, media, culture, and entertainment."
Pratibimb,Multiarts,Mumbai,Maharashtra,16 Feb 2023,19 Feb 2023,"Held annually since 1987, Pratibimb is a four-day multiarts cultural festival organised by Mumbai-based engineering college Veermata Jijabai Technological Institute (VJTI). The events, which collectively see a footfall of about 20,000 attendees, include intercollegiate dance, music and drama competitions, themed quizzes, workshops, treasure hunts, and talks by celebrities. Film and television actors such as Nana Patekar, Shishir Sharma, Shruti Seth and the cast of the web seriesKota Factoryhave been part of Pratibimb in recent years."
"Past Forward: The Pleasure, Purpose and Practice of Arts Research",Multiarts,Bengaluru,Karnataka,25 Oct 2024,27 Oct 2024,"Past Forward: The Pleasure, Purpose and Practice of Arts Research is a three-day festival celebrating a decade of the Arts Research programme atIFA. It will host over 70 diverse projects that explore complex realities and imaginations, emphasising how the arts help register and respond to paradigmatic shifts while fostering hope and desire for the future."
Mumbai Urban Art Festival,Multiarts,Mumbai,Maharashtra,22 Dec 2022,22 Feb 2023,"The Mumbai Urban Art Festival (MUAF) is a three-month long multiarts festival that takes on a city-scale endeavour which (will) include landmark murals, experiential exhibitions, immersive installations and public programming across key venues."
Manifest Dance-Film Festival,Dance,Puducherry,Puducherry,26 Jul 2024,03 Aug 2024,"The Manifest Dance-Film Festival launched in 2022 showcases the contemporary trans-disciplinary art of dance-film. While any film whose subject is dance qualifies as a dance-film, the festivals focus is to explore a niche genre that experiments with dance as the primary narrative tool and involves close collaborations between dancers and filmmakers."
Mahindra Sanatkada Lucknow Festival,Arts and Crafts,Lucknow,Uttar Pradesh,31 Jan 2025,04 Feb 2025,"Launched in 2010, the Mahindra Sanatkada Lucknow Festival is an annual event centred around a handicrafts exhibition and sale showcasing products made by artisans from across the country. Thefestival, which spans five days in the first week of February, also features talks, workshops, walking tours, book launches, exhibitions, film screenings and cultural performances."
Liberty and Light Festival,Multiarts,Panaji,Goa,28 May 2022,30 May 2022,"The Liberty and Light Festival is a three-day multi-disciplinary event featuring the finest talent from Goa and beyond. Inspired by 19th-century Goan polymath and intellectual Francisco Luis Gomes, the festival will mark his 193rd birth anniversary on 31 May. It takes its name from a line in a letter Gomes sent to French writer and politician Alphonse de Lamartine in which he wrote, I was born in India, once the cradle of poetry, philosophy and history and now their tomb. I demand liberty and light for India."
Kochi-Muziris Biennale,Visual Arts,Kochi,Kerala,12 Dec 2025,31 Mar 2026,"One of South Asias largest festivals of contemporary art, the four-month-long Kochi-Muziris Biennales mission is to introduce contemporary international visual art theory and practice to India and enable a dialogue among artists, curators, and the public. More than 400 works by over 350 artists from across the world have been showcased at the event since its launch in 2012. It has hosted two million visitors in its four editions so far."
Kerala Literature Festival,Literature,Calicut,Kerala,23 Jan 2025,26 Jan 2025,"The Kerala Literature Festival is a grand celebration of words, ideas, and [the] coming together of a global community. The events at the festival cover a vast array of interests ranging from history and architecture to science and cinema. One of the largest cultural gatherings in the country and Indias second biggest literature festival, it has received over 3 lakh attendees in recent editions. A non-exclusive and non-aligned event, it is open to the public – registration is free. Noam Chomsky, Ramachandra Guha, TM Krishna, Arundhati Roy and Shobaa De are only some of the prominent personalities to have participated in past editions of the festival."
Kala Ghoda Arts Festival,Multiarts,Mumbai,Maharashtra,25 Jan 2025,02 Feb 2025,"Held annually every February in and around the heritage precinct of Kala Ghoda in south Mumbai, the Kala Ghoda Arts Festival is one of the countrys longest-running and most prominent neighbourhood festivals. The Kala Ghoda Association organises the event, with a vision to spread awareness of the arts, especially among those with limited access and exposure to culture. The nine-day festival, launched in 1999, draws lakhs of visitors from across Mumbai and beyond."
Kahaani,Multiarts,,,17 Dec 2021,,"Multi-city childrens festival Kahaani, which was launched in 2011 byTeamwork Arts, brings alive the timeless art of storytelling and reimagines it through different artforms to ignite listeners curiosity and creativity. At Kahaani, which is held in major cities across the country, children are encouraged to let their imagination run wild as they learn and ideate with mentors outside classroom walls."
Jashn-e-Adab Cultural Kaarva’n Virasat,Multiarts,Shimla,Delhi NCR,16 Dec 2022,17 Dec 2022,"Launched in 2021, Jashn-e-Adab Cultural Kaarvan is a multi-city festival that seeks to celebrate the vibrancy and grandeur of Hindustani art and culture such as Indian classical music and dance, theatre, as well as literature and poetry in Hindi and Urdu. The aim of the event, which has so far taken place in Bhopal (October 2021, September 2022) and New Delhi (March and August 2022), has been to conserve and nurture Hindustani art forms in their true essence and formats such as Dastangoi, Baitbaazi and Kabir Gayan. Entry to the festival is free."
Jaipur Literature Festival,Literature,Jaipur,Rajasthan,30 Jan 2025,03 Feb 2025,"Indias largest and, arguably, most popular literature festival, this ten-day extravaganza in the picturesque Pink City of Jaipur has hosted more than 5,000 diverse speakers since its launch in 2008. To serve as a democratic, non-aligned platform offering free and fair access is Jaipur Literature Festivals core value."
International Yoga and Music Festival,Multiarts,Rishikesh,Uttarakhand,01 Nov 2022,07 Nov 2022,"The Nada Yoga School in Rishikesh conducts the International Yoga and Music Festival every year in November. Held since 2008, the event includes classes in yoga asanas (hatha yoga, ashtanga, Iyengar, Sivananda), pranayama (breathing exercises) and shatkarma (cleansing exercises), as well as lectures on Ayurveda. Each evening of the seven-day festival features Indian classical music or dance performances. The festival, staged virtually in 2020 and 2021, returned with an in-person edition in 2022."
IFP,Film,Mumbai,Maharashtra,12 Oct 2024,13 Oct 2024,"IFP, previously known as India Film Project, started out as a filmmaking challenge in 2011. It has grown, since 2016, into one of Asias largest content festivals. It serves as a platform for creators across fields such as cinema, literature, design and music. Over 85,000 attendees from more than 45 countries have been part of the festival so far."
Govandi Arts Festival,Multiarts,Mumbai,Maharashtra,15 Feb 2023,19 Feb 2023,"The Govandi Arts Festival is a celebration of arts and culture in the marginalised neighbourhood of Govandi in Mumbai. It will culminate in a parallel community-led arts festival in Mumbai, with digital projections in Bristol in the UK, in February 2023. The festival is part of the British Councils India/UK Together, a Season of Culture."
Gender Unboxed,Multiarts,Mumbai,Maharashtra,15 May 2020,17 May 2020,"Gender Unboxed is a multiarts festival by artists from marginalised genders who curate and create content that promotes gender fluidity while developing a bias-free, safe and interdisciplinary collaborative art environment. The events include art and photography exhibitions, documentary and feature film screenings, music concerts, poetry recitals, theatre performances and workshops."
Gender Bender,Multiarts,Bengaluru,Karnataka,22 Nov 2024,30 Dec 2024,"Gender Bender, launched in 2015, is a multiarts festival that celebrates questions and fresh perspectives on gender in order to generate positive change and increase empathy in society."
FutureFantastic,Multiarts,Bengaluru,Karnataka,24 Mar 2023,26 Mar 2023,"FutureFantastic is a first-of-its-kind TechArt festival in India that creatively brings together Artificial Intelligence (AI) and art to talk about climate change. The festival has been conceptualised byBeFantastic in partnership with FutureEverything (UK). It was a multi-venue event hosted between 11-12 March and 25-26 March 2023. The festival was made possible by the generous contribution of its primary supporters theBritish Councils India/UK Together, a Season of CultureandRohini & Nandan Nilekani Philanthropies."
Festival for Empowerment and Art for Life (FEAL),Multiarts,,,01 Oct 2021,03 Oct 2021,"Festival for Empowerment and Art for Life (FEAL) is a digital arts-based mental health and well-being festival launched collaboratively byKolkata Sanvedand theBritish Councilin 2020. FEAL aims to enable participants to enhance their own sense of mental and emotional wellbeing, especially considering the adverse impact of the COVID-19 pandemic, which has led to widespread fear, uncertainty, isolation and loneliness."
Ellora-Ajanta Dance Festival,Dance,Aurangabad,Maharashtra,12 Jan 2023,14 Jan 2023,"The Ellora-Ajanta Dance Festival is a three-day event that takes place in the historical 17th century monument Soneri Mahal in Aurangabad. The festival celebrates the culture, architecture and monuments in the district, of which there are many, such as the Ajanta and Ellora caves, from which it draws its name."
EcoReels Film Festival,Multiarts,New Delhi,DelhiNCR,01 Jun 2024,03 Jun 2024,"The 16th edition of EcoReels film festival, presented by Kriti Film Club as part of EcoFestival, embarks on a cinematic odyssey to spotlight Environment, Climate Change, and Sustainable Development. Through film screenings and discussions spanning fiction, documentaries, shorts, and animation, the festival illuminates themes of environmental stewardship, climate resilience, and biodiversity conservation."
Durrie Festival,Arts and Crafts,Salawas Jodhpur,Rajasthan,10 Sep 2022,11 Sep 2022,"The Durrie Festival organised by the Department of Tourism in Rajasthan, showcases the handcrafted works of rug weavers in the village of Salawas, located approximately 20 km from the city of Jodhpur. Held in partnership with UNESCO, the inaugural edition of the festival in 2022 saw attendees learn about the history, processes and practice of durrie weaving. The festival goers could also buy the handwoven wares directly from their makers."
Dramebaazi – International Arts Festival for the Young,Multiarts,Kolkata,West Bengal,01 Jul 2021,25 Jul 2021,"Organised by The Creative Arts Academy, Dramebaazi – International Arts Festival for the Young is a festival that has introduced the youth to art and culture. Artists, creators, cultural organisations and entrepreneurs have been teaching students their crafts at the festival, which was launched in 2018. A plethora of workshops, performances, discussions and screenings have helped in introducing art forms such as theatre, arts and crafts, dance, folk art, food, music and storytelling at the festival."
Digital Pride Festival,Multiarts,,,11 Jun 2021,27 Jun 2021,"The Digital Pride Festival, which was started in 2020, harnesses the potential of digital spaces with the aim to create fresh art and encourage skill building. With a mission to mainstream conversations on LGBTQIA+ rights, the festival has curated dialogues around advocacy through art, pleasure, healing and mental well-being, and showcased genre-bending performances celebrating queer self-expressions. The events, which have ranged from film screenings to dance, music and theatre performances, have also included masterclasses and workshops equipping young creators with the tools to share their stories and amplify their voices."
Devadaasyam,Dance,Thrissur,Kerala,03 May 2022,04 May 2022,"Devadaasyam is a four-day festival organised by the Salabhanjika Studio for Arts and Performances in both Thrissur and Hyderabad in May. With a commitment to preserving and protecting traditional artforms and cultural rituals, the festival introduces them to younger generations through workshops and seminars in the mornings and performances by eminent artists in the evenings."
ComplexCity,Multiarts,Mumbai,Maharashtra,11 Feb 2023,29 Apr 2023,"ComplexCity is a festival that travels across spaces in Mumbai for open-hearted conversations and reflections that work towards sustainable futures. Organised by the non-profit development organisation YUVA, ComplexCity brings together diverse voices from Mumbai. Collectively, they unravel the complex realities that surround the countrys entertainment and financial capital."
Bonjour India,Multiarts,Multicity,India,13 Mar 2022,30 Nov 2022,"Bonjour India is a multi-city artistic, cultural, educational and social initiative that celebrates cultural, literary and scientific partnerships between India and France. It is put together by the French cooperation network in India comprising the Embassy of France and its cultural service, Institut Français en Inde, the Alliance Française network and the Consulates of France."
Bloom in Green,Multiarts,Krishnagiri,Tamil Nadu,20 Dec 2024,22 Dec 2024,"Bloom In Green is a transformational festival held across rural towns in South India. The vision of the festival is to steer the transformation of culture toward sustainability and creativity through talks, concerts and a variety of workshops. It aims to inspire people to lead a slow, creative and conscious lifestyle."
Bhoomi Habba – The Earth Festival,Multiarts,Bengaluru,Karnataka,08 Jun 2024,,"Celebrated around World Environment Day, which falls on 05 June, Bhoomi Habba – The Earth Festival seeks to increase public awareness of the environmental crises faced by its host city of Bengaluru, and showcase inclusive and sustainable alternatives. Held at organiser Visthars green campus, it celebrates people and ways of living that care for our earth and honours individuals and collectives who live gently and resist its destruction."
Beyond Theory: Mapping Feminist Practices in the Contemporary,Multiarts,Bengaluru,Karnataka,24 Mar 2023,25 Mar 2023,"Organised by theMuseum of Art & Photography (MAP),Beyond Theory: Mapping Feminist Practices in the Contemporarywas the inaugural edition of a three-year-long exhibition and conference. The exhibition  themed VISIBLE/INVISIBLE: Representation of Women in Art through the MAP Collection, drew ideas from the various thematic threads of the museum collection and highlighted questions and frameworks to broaden the arguments within feminist discourse."
Attakkalari India Biennial,Dance,Bengaluru,Karnataka,04 Dec 2021,27 Feb 2022,"Attakkalari India Biennial organised by theAttakkalari Centre for Movement Artsis a platform for fresh voices in contemporary dance, digital arts and research that was launched in 2000. Held every two years for 10 days in multiple venues across Bengaluru, the festival features main-stage performances and satellite events by dance companies from India and around the world as well as seminars, screenings of films on dance, a writers residency and a choreographers residency."
ART MUMBAI,Multiarts,Mumbai,Maharashtra,14 Nov 2024,17 Nov 2024,"ART MUMBAI, founded in 2023, is a dynamic platform dedicated to celebrating and promoting modern and contemporary South Asian art. The initiative was co-founded by leading art figures Minal Vazirani, Dinesh Vazirani, Nakul Dev Chawla, and Conor Macklin, each of whom brings decades of experience in the art world."
Art Is Life: New Beginnings,Arts and Crafts,Bengaluru,Karnataka,30 Nov 2024,01 Dec 2024,"Art Is Life: New Beginnings is a week-long celebration of the arts that fosters community-building through collaborations and discussions. The third and latest edition of the festival took place at theMuseum of Art & Photography (MAP)in Bengaluru. It was held between 18 and 24 Feb 2023, during which museum-goers from across the country were able to experience the rich and diverse collection of South Asian art. The opening week featured a diverse array of art forms displayed both on-site and online. In addition to exhibitions, thefestivalalso offered a range of talks and performances at the museum, while the digital version showcased curated content about the museum and its mission."
Art Is Life,Multiarts,Bengaluru,Karnataka,01 Dec 2023,03 Dec 2023,"Launched in 2020 byMuseum of Art & Photography (MAP), Art is Life is a festival that celebrates the interconnectedness of the arts and their significance in our everyday life through stories, performances, artworks and experts. It is held every December. To mark the launch of MAPs digital museum, the inaugural online edition in 2020 showcased the museums collection in a weeklong series of events such as narrations and performances."
Anjas Mahotsav,Multiarts,Jodhpur,Rajasthan,29 Oct 2022,30 Oct 2022,"Anjas Mahotsav, the first ever festival devoted to Rajasthani language is an annual two-day celebration bringing together literature, theatre, scholars and researchers, performing arts, music, films, traditional games, local food, storytelling, arts and crafts, design and architecture and various other intangible Rajasthani cultural practices to the forefront."
AniMela,Multiarts,Mumbai,Maharashtra,07 Mar 2025,09 Mar 2025,"AniMela, a groundbreaking four-day festival conceived by the Aniverse & Visual Arts Foundation (AVAF),  will play host to an array of films, workshops, and activities, dedicated to celebrating and showcasing the realms of Animation, Gaming, Visual Effects, Comics, and Extended Reality (AVGC-XR). AVAF proudly collaborates with the Government of India (Ministry of Information & Broadcasting) and the prestigious Annecy International Animation Festival (referred to as the Cannes of Animation) to bring the global stage to India and elevate Indian AVGC-XR to international prominence."
All Living Things Environmental Film Festival,Film,Maharashtra,,22 Nov 2024,08 Dec 2024,"All Living Things Environmental Film Festival (ALT EFF) is a platform launched in 2020 inPanchgani, Maharashtra that inspires climate awareness and action at scale through the power ofcinema. The festival increases awareness and empathy to inspire climate action locally and at large.With plenty of global flair and an Indian flavour, ALT EFF curates the best of environmental filmsevery year and cultivates audiences across borders, linguistics and classes of the society."
AF Weekender,Multiarts,Kolkata,West Bengal,23 Sep 2022,25 Sep 2022,The multidisciplinary AF Weekender is a pan-India celebration of art that was launched in a digital avatar in 2021.
Ziro Literary Festival,Literature,Ziro,Arunachal Pradesh,24 Sep 2024,25 Sep 2024,"From the stables of the organisers of theZiro Festival of Music, in partnership with Saint Claret College, Ziro, Arunachal Pradesh, comes the Ziro Literary Festival– a free, open-to-all youth literature festival. Started in 2018 with an aim to inspire students to create their own works of literature through engaging in discussions, readings, brainstorming sessions and workshops, the festival brings together award-winning writers, journalists, artists, as well as political and bureaucratic heads, enabling students and attendees of the festival to learn from the experiences of achievers from all walks of life. In promoting inter-cultural exchange, dialogue, knowledge-sharing and skill-building, thefestivalis thoroughly outcome-based and is focused on encouraging creative expression among young adults. The lasteditionof the festival hosted prominent authors, writers, poets and journalists from and outside the state, such as Mamang Dai, Madhu Raghavendra, Karma Paljor, Ranju Dodum, Ponung, Ering Angu, Sadiq Naqvi and Subi Taba. The Ziro Literary Festival can belive-streamedstarting from 24 September."
YathaKatha International Film & Literature Festival,Literature,Mumbai,Maharashtra,21 Nov 2024,24 Nov 2024,"YathaKatha International Film & Literature Festival (YKIFLF) is a celebration of cinema & literature under one roof.The festivalaims to bridge the gap between two beautiful related art forms and to re-engage the world with stories & their digital presentations.Launchedin 2021 by Charru Sharma and a group of creative professionals and proven to be the finest international cinema and literature festival together, YathaKatha International Film & Literature Festival (YKIFLF) is an extremely important and independent showcase, inspired by the fruitful interaction of arts – cinema and literature, in particular."
Wayanad Literature Festival,Literature,Mananthavady,Kerala,27 Dec 2024,29 Dec 2024,The Wayanad Literature festival seeks to provide the people of Wayanad and the adjoining areas with the extraordinary opportunity to enjoy a curated literature festival [while also offering] some of the best creative minds the opportunity to engage with the people of Wayanad.The very first editionof the festival took place in December 2022.
Valley of Words,Literature,Dehradun,Uttarakhand,17 Nov 2023,18 Nov 2023,"Launched in 2017, Valley of Words (VoW) is a free-to-attend literature and arts festival that brings together writers, critics and listeners from the worlds of fiction, non-fiction and poetry in the town of Dehradun on the foothills of the Himalayas. The sessions, which immerse the audience into the worlds of literature, philosophy and contemporary India, are structured around four verticals: English Literature, Hindi Sahitya, the R. S. Tolia Forum for Himalayan Ecosystems and Governance, and Military History and Strategy. The Dalai Lama, Ian Cardozo, Leeladhar Jagudi, Ritu Menon and Rajdeep Sardesai are among the speakers who have been part of the festival."
Tata Steel Kolkata Literary Meet,Literature,Kolkata,West Bengal,21 Jan 2025,26 Jan 2025,"The Tata SteelKolkata Literary Meet, launched in 2012, celebrates literature and allied cultural pursuits such as dance, music and theatre. The events include talks, discussions, workshops, book launches, plays, dance recitals and music concerts. The festival, which usually takes place in January, hosts several eminent speakers and performers from across India and the world, making it an integral part of not just Kolkatas but the countrys annual cultural calendar."
Tata Steel Jharkhand Literary Meet,Literature,Ranchi,Jharkhand,10 Dec 2022,11 Dec 2022,"Launched in 2017, the Ranchi-based Tata Steel Jharkhand Literary Meet resulted from the need for a festival that would celebrate the eponymous states rich yet underrepresented literature and culture. Like its sister festivals in Kolkata and Bhubaneswar, the events include talks, discussions, workshops, book launches, film screenings, plays, dance recitals and music performances."
Tata Steel Bhubaneswar Literary Meet,Literature,Bhubaneshwar,Odisha,03 Feb 2023,05 Feb 2023,"The Tata Steel Bhubaneswar Literary Meet was launched in 2016 to celebrate Odishas literature and allied cultural pursuits such as dance, music and theatre. The festival, say the organisers, is an endeavour to take Odisha to a wider audience and bring the world to Odisha. The events include talks, discussions, workshops, book launches, film screenings, plays, dance recitals and music performances."
Rough Note – Literarily Yours,Literature,Chennai,Tamil Nadu,03 Sep 2022,04 Sep 2022,"Rough Note – Literarily Yours is a childrens literary festival dedicated to nurturing young writers, poets and emerging storytellers. It stands as Chennais pioneering event of its kind, fostering a deep love for literature and the written word among its participants."
Rang Rajasthan Theatre Festival,Theatre,Jaipur,Rajasthan,16 Feb 2025,25 Feb 2025,"Launched in 2015, the Rang Rajasthan Theatre Festival has grown to become one of the most celebrated and diverse cultural festivals in India. With 9 successful editions to date, the festival is now gearing up for its 10th grand edition, scheduled from 16 to 25 February 2025 in Jaipur, Rajasthan.Over the years, RangRajasthan has established itself as a premier platform for showcasing Rajasthans rich theatrical traditions and folk heritage while creating a space for contemporary and experimental performances from across India."
New Delhi World Book Fair,Literature,New Delhi,Delhi NCR,01 Feb 2025,09 Feb 2025,"The National Book Trust (NBT) of India organises the New Delhi World Book Fair, established in March 1972. Indias second oldest book fair, the NBT aims to instill a love for books and literature in people and to encourage the production of good literature in Indian languages. Thefestivalfeatures cultural and literary programmess, discussions, workshops and seminars. The theme of the 50th and most recent edition of the Fair (2024) was Multi-Lingual India. It featured a dedicated Theme Pavilion, designed by National Institute of Design, Ahmedabad. Other features included a Childrens Pavilion, a Yuva (Youth) Pavilion, cultural programmes and New Delhi Rights table aimed to provide the exhibitors with a scope of business with the fast-developing book industry. New Delhi World Book Fair 2025 is scheduled to be held from 1st to 9th February 2025 in the newly constructed Halls 1-5 at the centrally located Pragati Maidan, New Delhi."
Literature Live! The Mumbai Litfest,Literature,Mumbai,Maharashtra,06 Nov 2025,08 Nov 2025,"Among the most-loved literary festivals in the country, Tata Literature Live!, or Lit Live! as its come to be known, assembles authors, poets, artists and thought leaders from different parts of the world at the National Centre for the Performing Arts in Mumbai. In addition to hosting a slate of engaging book launches, discussions and workshops, the festival, which was launched in 2010, confers as many as ten awards. The categories include Book of the Year for fiction and non-fiction, Publisher of the Year, Poet Laureate and a Lifetime Achievement award."
Khushwant Singh Literary Festival,Literature,Kasauli,Himachal Pradesh,13 Oct 2023,15 Oct 2023,"The Khushwant Singh Literary Festival is held annually in Kasauli in October. Organised by theKhushwant Singh Foundation, It promotes the legacy of author, scholar, journalist and iconoclast Khushwant Singh by discussing the values for which he stood. The festival, launched in 2012, raises awareness around causes in which he believed. These include equal opportunities for women, Indo-Pakistan friendship and the preservation of ecology. Profits from the event are ploughed back into initiatives that work for the betterment of the ecology and the education of the girl child."
Kalinga Literary Festival,Literature,Bhubaneshwar,Odisha,21 Mar 2025,23 Mar 2025,"Looking back at the glorious history of the ancient Kalinga kingdom and its connections with Odisha is the Kalinga Literary Festival (KLF), which attempts to bridge the path between the glorious past and future filled with possibilities. The three-day annual festival celebrates the sixth Indian classical language, Odia, and its literature and history, as well as the literary diversity of the state."
International Kolkata Book Fair,Literature,Kolkata,West Bengal,28 Jan 2025,09 Feb 2025,"Launched in 1976, the International Kolkata Book Fair is an annual literary festival that takes place across two weeks in Kolkata. Organised by thePublishers & Booksellers Guild, the next edition of the festival is being held between 28 Jan to  9 Feb 2025. Past editions of the festival have seen participation from many publishers from across the country and the world, including Goodword Books, Scholastic India and Simon & Schuster India to name a few. The International Kolkata Book Fair has been recognised by International Publishers Association, Geneva as the largest book fair in terms of number of visitors as it draws over 27 lakh people each year. Some of the most eminent publishers taking part in this yearsbook fairinclude Harper Collins, Pan Macmillan India, Penguin Random House India, Niyogi Books, Jaico Publishing House, Bloomsbury Publishing India and many others. For more details on the book fair, you can download thisapplication."
Hyderabad Literary Festival,Literature,Hyderabad,Telangana,24 Jan 2025,26 Jan 2025,"The multi-lingual and multi-disciplinary Hyderabad Literary Festival has brought together some of the finest creative minds in India and abroad since its launch in 2010. The festival, which presents about 150 speakers every year, acts as a bridge between writers and readers, artists and audiences and aspiring writers and publishers. The programme includes talks, conversations, panel discussions, readings, workshops, exhibitions, book launches, cultural performances and film screenings. There are also events for college students and school children."
GreenLitFest,Literature,Bengaluru,Karnataka,18 Dec 2022,,The GreenLitFest was started in June 2021 as a series of monthly talks conducted with the purpose of mainstreaming conversations around the environment and Indias preparedness to deal with climate change.
City Scripts – An Urban Writings Festival,Literature,Bengaluru,Karnataka,10 May 2024,12 May 2024,"City Scripts – An Urban Writings Festival is a three-day celebration of writings that bring alive the city as seen through myriad lenses. The annual festival, organised by the Indian Institute for Human Settlements, is held in Bengaluru every year. It occasionally takes place in New Delhi, where it was conducted from 2017 to 2019. Since its launch in 2016, City Scripts has brought together eminent authors, journalists, architects, poets, artists and others, for a series of readings, conversations, panel discussions and workshops."
Chennai Queer LitFest,Literature,,,19 Nov 2022,20 Nov 2022,"This annual day-long LGBTQIA+ literature festival was started in 2018 by Queer Chennai Chronicles. It aims to encourage and create opportunities for queer-identifying writers, translators, artists and publishers who are otherwise invisibilised or ignored in various literary platforms. The Chennai Queer LitFest, which is a completely queer-run festival, brings together varied queer perspectives about literature from and about India through sessions such as panel discussions, poetry recitals and reading performances."
Bookaroo,Literature,Srinagar New Delhi and Vadodara,Delhi NCR,08 Nov 2024,10 Nov 2024,"Bookaroo is a festival that endeavours to make books come alive through interactions between children and authors, illustrators and storytellers. A travelling festival, the flagship edition of Bookaroo is held in Delhi every November. Since its launch in 2008, it has completed 38 editions across 16 cities including Ahmedabad, Bali (Rajasthan), Baroda, Benaras, Bengaluru, Bhopal, Gangtok, Goa, Jaipur, Kohima, Kolkata, Mumbai, Pune, Srinagar, Udaipur and even Kuching in Malaysia. Over 1,100 speakers from 18 countries have been part of the festival so far."
Bangalore Literature Festival,Literature,Bengaluru,Karnataka,14 Dec 2024,15 Dec 2024,"Founded in 2012, the Bangalore Literature Festival is an independent, community-funded event that seeks to commemorate the Garden Citys literary diversity and creative spirit. To make the festival rooted in Bengaluru with global aspirations and to create a space for discussions around literature and life were the guiding principles for founders Vikram Sampath, Shinie Antony, and Srikrishna Ramamoorthy."
Bangalore Business Literature Festival,Literature,Bengaluru,Karnataka,14 Sep 2024,,"The Bangalore Business Literature Festival, launched in 2015, was born of a need for conversations focused on business books, which the organisers believe occupy a large and dynamic realm in the literature universe."
